sentence	polarity	positive	neutral	negative
城中有柱石峙立，安乐王子之象在焉。 	 positive 	0.598444	0.24664664	0.15490942
象身裹以金叶，碧玉为目，剑柄上饰琼瑶，烂有光辉， 	 positive 	0.598444	0.24664664	0.15490942
见者叹赏。 	 positive 	0.598444	0.24664664	0.15490942
有市会议士曰：“美哉，如占风之鸡旗也！”言时颇欲以风雅自见，继复惧人消其虚华，则曰：“独惜其无用耳。”其人盖信更事者也。 	 negative 	0.423509	0.3976891	0.17880188
有小儿啼欲得月，其母语之曰：“若胡弗效安乐王子者!  	 positive 	0.598444	0.24664664	0.15490942
安乐王子未尝啼泣有所求也。” 	 neutral 	0.4774948	0.30812833	0.21437682
骚人过此，则视象而言曰：“世间犹有安乐之人，吾心怡悦矣。" 	 positive 	0.598444	0.24664664	0.15490942
贫儿自圣寺出，绛衣素帔，群言曰：“彼貌如天使也。” 	 neutral 	0.4774948	0.30812833	0.21437682
数学师曰：“汝安知者？汝辈未尝见天使也。” 	 neutral 	0.4774948	0.30812833	0.21437682
儿对曰：“然。第有之，尝见诸梦中耳师则蹙额疾视，盖不悦小儿梦也。 	 negative 	0.423509	0.3976891	0.17880188
一夜，有小燕翻飞入城。 	 neutral 	0.4774948	0.30812833	0.21437682
四十日前，其伴已往埃及，彼爱一苇，独留不去。 	 negative 	0.423509	0.3976891	0.17880188
一日春时，方逐黄色巨蛾，飞经水次，与苇邂逅，爱其纤腰，止与问讯，便曰： 	 positive 	0.598444	0.24664664	0.15490942
吾爱君可乎？”苇无语,惟一折腰。 	 negative 	0.423509	0.3976891	0.17880188
燕随绕苇而飞，以翼击水，涟起作银色， 	 neutral 	0.4774948	0.30812833	0.21437682
以相温存，尽此长夏。 	 positive 	0.598444	0.24664664	0.15490942
他燕囑晰相语曰：“是良可笑，女绝无资，且亲属众也。”燕言殊当，川中固皆苇也。 	 neutral 	0.4774948	0.30812833	0.21437682
未几秋至，众各飞去。 	 neutral 	0.4774948	0.30812833	0.21437682
燕失伴，渐觉孤寂，且倦于爱， 	 negative 	0.423509	0.3976891	0.17880188
曰：“女不能言，且吾惧彼佻巧，恒与风酬对也。” 	 neutral 	0.4774948	0.30812833	0.21437682
是诚然，每当风起，苇辄宛转顶礼。 	 negative 	0.423509	0.3976891	0.17880188
燕又曰：“女或宜家，第吾喜行旅，则吾妻亦必喜此乃可耳。” 	 positive 	0.598444	0.24664664	0.15490942
遂问之曰：“汝能偕吾行乎？”苇摇首，殊爱其故园也。 	 neutral 	0.4774948	0.30812833	0.21437682
燕曰：“汝负我矣。 	 negative 	0.423509	0.3976891	0.17880188
今吾行趣埃及古塔，别矣。”遂飞而去。 	 negative 	0.423509	0.3976891	0.17880188
燕飞终日，薄暮抵城。 	 neutral 	0.4774948	0.30812833	0.21437682
念曰：“今将安托？意城中或可居也。” 	 neutral 	0.4774948	0.30812833	0.21437682
已而见柱上金人， 	 neutral 	0.4774948	0.30812833	0.21437682
乃曰：“吾当居此。地爽明，颍气亦清也。” 	 positive 	0.598444	0.24664664	0.15490942
遂集安乐王子足下， 	 positive 	0.598444	0.24664664	0.15490942
悠然四顾，微语曰：“今日居金屋中矣。”随谋就眠，方曲首匿翼间，忽有雨水一滴落其背。 	 positive 	0.598444	0.24664664	0.15490942
燕惊曰：“异哉！空中了无云物，星光灿然，雨乃遽降， 	 neutral 	0.4774948	0.30812833	0.21437682
北欧天气殊恶也。 	 negative 	0.423509	0.3976891	0.17880188
彼苇喜雨，第此正其私意耳。” 	 neutral 	0.4774948	0.30812833	0.21437682
言次雨又降， 	 negative 	0.423509	0.3976891	0.17880188
燕曰：“金人在上而不能避雨，是何用者？吾当别求烟突之顶栖之。”遂决意他去， 	 negative 	0.423509	0.3976891	0.17880188
顾未及展翼而雨复下。燕仰视，乃有所见， 	 neutral 	0.4774948	0.30812833	0.21437682
见安乐王子方泣，滋泪交颐， 	 positive 	0.598444	0.24664664	0.15490942
月光被面，色益美好。燕心怜之， 	 positive 	0.598444	0.24664664	0.15490942
问曰：“君何人耶？” 	 neutral 	0.4774948	0.30812833	0.21437682
曰：“吾安乐王子也。” 	 positive 	0.598444	0.24664664	0.15490942
燕曰：“然胡为泣？已濡我矣。” 	 negative 	0.423509	0.3976891	0.17880188
王子曰：“当吾生时，犹具人心,乃不知泪为何物。以吾居商苏西（此言无忧）宫中，忧怨无由得入。 	 negative 	0.423509	0.3976891	0.17880188
昼游苑中，夕就广殿，歌舞相乐， 	 neutral 	0.4774948	0.30812833	0.21437682
苑外围以崇墉,吾但见是中之美，更无暇问此外何有矣。 	 negative 	0.423509	0.3976891	0.17880188
诸臣字吾曰安乐王子，使人世欢娱，足称安乐者，则吾信安乐矣。 	 positive 	0.598444	0.24664664	0.15490942
吾墨墨以生,亦墨墨以死。 	 neutral 	0.4774948	0.30812833	0.21437682
逮死后，众置我高居是间，吾遂得见人世忧患。虽吾心为铅，不能无动，舍涕泣外，无他道矣。” 	 negative 	0.423509	0.3976891	0.17880188
燕闻之自念曰：“嘻！彼身非纯金者与？” 	 neutral 	0.4774948	0.30812833	0.21437682
第不敢朗语，指斥他人，特窃自异已耳。 	 negative 	0.423509	0.3976891	0.17880188
王子又曰：“远去此地，有一委巷，中见敝庐， 	 neutral 	0.4774948	0.30812833	0.21437682
窗户方启。吾见妇人据案而坐， 	 neutral 	0.4774948	0.30812833	0.21437682
颜色憔悴，手赤且甲错，多为针伤,盖缝妇也。 	 negative 	0.423509	0.3976891	0.17880188
方为宫中女官作锦袍，刺爱华（中国玉蕊华也）于上，以备大宴时之用。 	 positive 	0.598444	0.24664664	0.15490942
屋角榻上，幼儿方卧， 	 neutral 	0.4774948	0.30812833	0.21437682
病苦消渴,求橘食之。 	 negative 	0.423509	0.3976891	0.17880188
顾母无有，惟饮以川水，故儿啼泣。 	 negative 	0.423509	0.3976891	0.17880188
燕子,燕子，汝能为我将剑上琼瑶，往赠之乎？ 	 neutral 	0.4774948	0.30812833	0.21437682
吾足着坛上，不能移也。” 	 neutral 	0.4774948	0.30812833	0.21437682
燕曰：“第有人待我于埃及。 	 neutral 	0.4774948	0.30812833	0.21437682
吾友方翱翔尼罗川上，与荷花共语耳。 	 positive 	0.598444	0.24664664	0.15490942
未几，当归宿古帝垄中， 	 neutral 	0.4774948	0.30812833	0.21437682
帝则亦在，棺槨皆施丹腰， 	 neutral 	0.4774948	0.30812833	0.21437682
身缠黄绢，煮以异香， 	 neutral 	0.4774948	0.30812833	0.21437682
颈间悬玉，色作惨绿，而帝手乃如枯叶也。” 	 negative 	0.423509	0.3976891	0.17880188
王子曰：“燕子，燕子，汝能留此一宵，为吾作使者乎？ 	 neutral 	0.4774948	0.30812833	0.21437682
儿渴甚而母尤悲也。” 	 negative 	0.423509	0.3976891	0.17880188
燕曰：“吾殊不爱小儿。 	 negative 	0.423509	0.3976891	0.17880188
去岁夏日，尝游水次，遇二顽童，为磨工子，恒以石投我， 	 neutral 	0.4774948	0.30812833	0.21437682
顾未尝一中。燕皆善飞，石胡能及，翎吾家本以疾飞名世者。然儿之为此，则终不敬也。” 	 positive 	0.598444	0.24664664	0.15490942
顾王子色甚悲，燕为之动， 	 negative 	0.423509	0.3976891	0.17880188
遂曰：“此间寒甚，第吾当留此一宵，为君使者。” 	 positive 	0.598444	0.24664664	0.15490942
王子曰：“吾敬谢燕子。” 	 positive 	0.598444	0.24664664	0.15490942
燕取琼瑶，衔之味间，越屋而去。 	 neutral 	0.4774948	0.30812833	0.21437682
过圣寺塔旁，见有白石雕琢为天使状。 	 neutral 	0.4774948	0.30812833	0.21437682
又过王宫，则闻歌舞之音， 	 neutral 	0.4774948	0.30812833	0.21437682
有女郎偕其欢子,出立回廊之下。 	 neutral 	0.4774948	0.30812833	0.21437682
男子曰：“异哉星光！异哉情爱之力！” 	 positive 	0.598444	0.24664664	0.15490942
女应之曰：“宫中大宴时至，意衣可成矣。吾已命绣爱华于上，特恨缝妇慵耳。” 	 positive 	0.598444	0.24664664	0.15490942
已而度川，见舟上桅灯点点。 	 neutral 	0.4774948	0.30812833	0.21437682
