sentence	positive	neutral	negative
High above the city, on a tall column, stood the statue of the Happy Prince. 	0.27574214	0.52749896	0.19675897
He was gilded all over with thin leaves of fine gold, for eyes he had two bright sapphires, and a large red ruby glowed on his sword-hilt. 	0.27574214	0.52749896	0.19675897
He was very much admired indeed. 	0.56479144	0.3808266	0.05438204
He is as beautiful as a weathercock, remarked one of the Town Councillors who wished to gain a reputation for having artistic tastes; "only not quite so useful," he added, fearing lest people should think him unpractical, which he really was not. 	0.11110061	0.43357334	0.45532602
Why can't you be like the Happy Prince? asked a sensible mother of her little boy who was crying for the moon. 	0.11110061	0.43357334	0.45532602
The Happy Prince never dreams of crying for anything. 	0.27574214	0.52749896	0.19675897
I am glad there is some one in the world who is quite happy, muttered a disappointed man as he gazed at the wonderful statue. 	0.56479144	0.3808266	0.05438204
 "He looks just like an angel," said the Charity Children as they came out of the cathedral in their bright scarlet cloaks and their clean white pinafores. 	0.56479144	0.3808266	0.05438204
How do you know? said the Mathematical Master, "you have never seen one." 	0.27574214	0.52749896	0.19675897
Ah! but we have, in our dreams, answered the children; and the Mathematical Master frowned and looked very severe, for he did not approve of children dreaming. 	0.11110061	0.43357334	0.45532602
One night there flew over the city a little Swallow. 	0.27574214	0.52749896	0.19675897
His friends had gone away to Egypt six weeks before, but he had stayed behind, for he was in love with the most beautiful Reed. 	0.56479144	0.3808266	0.05438204
He had met her early in the spring as he was flying down the river after a big yellow moth, and had been so attracted by her slender waist that he had stopped to talk to her. 	0.27574214	0.52749896	0.19675897
Shall I love you? said the Swallow, who liked to come to the point at once, and the Reed made him a low bow. 	0.27574214	0.52749896	0.19675897
So he flew round and round her, touching the water with his wings, and making silver ripples. 	0.27574214	0.52749896	0.19675897
This was his courtship, and it lasted all through the summer. 	0.27574214	0.52749896	0.19675897
It is a ridiculous attachment, twittered the other Swallows; "she has no money, and far too many relations"; and indeed the river was quite full of Reeds. 	0.11110061	0.43357334	0.45532602
Then, when the autumn came they all flew away. 	0.11110061	0.43357334	0.45532602
After they had gone he felt lonely, and began to tire of his ladylove. 	0.11110061	0.43357334	0.45532602
She has no conversation, he said, "and I am afraid that she is a coquette, for she is always flirting with the wind." 	0.11110061	0.43357334	0.45532602
And certainly, whenever the wind blew, the Reed made the most graceful curtseys. 	0.56479144	0.3808266	0.05438204
I admit that she is domestic, he continued, "but I love travelling, and my wife, consequently, should love travelling also." 	0.56479144	0.3808266	0.05438204
Will you come away with me? he said finally to her; but the Reed shook her head, she was so attached to her home. 	0.11110061	0.43357334	0.45532602
You have been trifling with me, he cried. 	0.11110061	0.43357334	0.45532602
I am off to the Pyramids. Good-bye! and he flew away. 	0.27574214	0.52749896	0.19675897
All day long he flew, and at night-time he arrived at the city. 	0.27574214	0.52749896	0.19675897
Where shall I put up? he said; "I hope the town has made preparations." 	0.27574214	0.52749896	0.19675897
Then he saw the statue on the tall column. 	0.27574214	0.52749896	0.19675897
I will put up there, he cried; "it is a fine position, with plenty of fresh air."  	0.56479144	0.3808266	0.05438204
So he alighted just between the feet of the Happy Prince. 	0.27574214	0.52749896	0.19675897
I have a golden bedroom, he said softly to himself as he looked round, and he prepared to go to sleep; but just as he was putting his head under his wing a large drop of water fell on him. 	0.27574214	0.52749896	0.19675897
What a curious thing! he cried; "there is not a single cloud in the sky, the stars are quite clear and bright, and yet it is raining. 	0.56479144	0.3808266	0.05438204
The climate in the north of Europe is really dreadful. 	0.11110061	0.43357334	0.45532602
The Reed used to like the rain, but that was merely her selfishness." 	0.11110061	0.43357334	0.45532602
Then another drop fell. 	0.11110061	0.43357334	0.45532602
What is the use of a statue if it cannot keep the rain off? he said; "I must look for a good chimney-pot," and he determined to fly away. 	0.11110061	0.43357334	0.45532602
But before he had opened his wings, a third drop fell, and he looked up, and saw--Ah! what did he see? 	0.27574214	0.52749896	0.19675897
The eyes of the Happy Prince were filled with tears, and tears were running down his golden cheeks. 	0.11110061	0.43357334	0.45532602
His face was so beautiful in the moonlight that the little Swallow was filled with pity. 	0.11110061	0.43357334	0.45532602
Who are you? he said. 	0.27574214	0.52749896	0.19675897
I am the Happy Prince. 	0.56479144	0.3808266	0.05438204
Why are you weeping then? asked the Swallow; "you have quite drenched me." 	0.11110061	0.43357334	0.45532602
When I was alive and had a human heart, answered the statue, "I did not know what tears were, for I lived in the Palace of SansSouci, where sorrow is not allowed to enter. 	0.11110061	0.43357334	0.45532602
In the daytime I played with my companions in the garden, and in the evening I led the dance in the Great Hall. 	0.27574214	0.52749896	0.19675897
Round the garden ran a very lofty wall, but I never cared to ask what lay beyond it, everything about me was so beautiful. 	0.56479144	0.3808266	0.05438204
My courtiers called me the Happy Prince, and happy indeed I was, if pleasure be happiness. 	0.56479144	0.3808266	0.05438204
So I lived, and so I died. 	0.27574214	0.52749896	0.19675897
And now that I am dead they have set me up here so high that I can see all the ugliness and all the misery of my city, and though my heart is made of lead yet I cannot chose but weep." 	0.11110061	0.43357334	0.45532602
What! is he not solid gold? said the Swallow to himself. 	0.11110061	0.43357334	0.45532602
He was too polite to make any personal remarks out loud. 	0.11110061	0.43357334	0.45532602
Far away, continued the statue in a low musical voice, "far away in a little street there is a poor house. 	0.11110061	0.43357334	0.45532602
One of the windows is open, and through it I can see a woman seated at a table. 	0.27574214	0.52749896	0.19675897
Her face is thin and worn, and she has coarse, red hands, all pricked by the needle, for she is a seamstress. 	0.11110061	0.43357334	0.45532602
She is embroidering passionflowers on a satin gown for the loveliest of the Queen's maids-ofhonour to wear at the next Court-ball. 	0.56479144	0.3808266	0.05438204
In a bed in the corner of the room her little boy is lying ill. 	0.11110061	0.43357334	0.45532602
He has a fever, and is asking for oranges. 	0.11110061	0.43357334	0.45532602
His mother has nothing to give him but river water, so he is crying. 	0.11110061	0.43357334	0.45532602
Swallow, Swallow, little Swallow, will you not bring her the ruby out of my sword-hilt? 	0.11110061	0.43357334	0.45532602
My feet are fastened to this pedestal and I cannot move." 	0.11110061	0.43357334	0.45532602
I am waited for in Egypt, said the Swallow. 	0.56479144	0.3808266	0.05438204
My friends are flying up and down the Nile, and talking to the large lotusflowers.	0.27574214	0.52749896	0.19675897
Soon they will go to sleep in the tomb of the great King. 	0.11110061	0.43357334	0.45532602
The King is there himself in his painted coffin. 	0.27574214	0.52749896	0.19675897
He is wrapped in yellow linen, and embalmed with spices. 	0.27574214	0.52749896	0.19675897
Round his neck is a chain of pale green jade, and his hands are like withered leaves." 	0.27574214	0.52749896	0.19675897
Swallow, Swallow, little Swallow, said the Prince, "will you not stay with me for one night, and be my messenger? 	0.27574214	0.52749896	0.19675897
The boy is so thirsty, and the mother so sad." 	0.11110061	0.43357334	0.45532602
I don't think I like boys, answered the Swallow. 	0.11110061	0.43357334	0.45532602
Last summer, when I was staying on the river, there were two rude boys, the miller's sons, who were always throwing stones at me.	0.11110061	0.43357334	0.45532602
They never hit me, of course; we swallows fly far too well for that, and besides, I come of a family famous for its agility; but still, it was a mark of disrespect." 	0.11110061	0.43357334	0.45532602
But the Happy Prince looked so sad that the little Swallow was sorry. 	0.11110061	0.43357334	0.45532602
It is very cold here, he said; "but I will stay with you for one night, and be your messenger." 	0.27574214	0.52749896	0.19675897
Thank you, little Swallow, said the Prince. 	0.56479144	0.3808266	0.05438204
So the Swallow picked out the great ruby from the Prince's sword, and flew away with it in his beak over the roofs of the town. 	0.27574214	0.52749896	0.19675897
He passed by the cathedral tower, where the white marble angels were sculptured. 	0.27574214	0.52749896	0.19675897
He passed by the palace and heard the sound of dancing. 	0.27574214	0.52749896	0.19675897
A beautiful girl came out on the balcony with her lover. 	0.56479144	0.3808266	0.05438204
How wonderful the stars are, he said to her, "and how wonderful is the power of love!" 	0.56479144	0.3808266	0.05438204
I hope my dress will be ready in time for the State-ball, she answered; "I have ordered passion-flowers to be embroidered on it; but the seamstresses are so lazy." 	0.27574214	0.52749896	0.19675897
He passed over the river, and saw the lanterns hanging to the masts of the ships. 	0.27574214	0.52749896	0.19675897
He passed over the Ghetto, and saw the old Jews bargaining with each other, and weighing out money in copper scales. 	0.27574214	0.52749896	0.19675897
At last he came to the poor house and looked in. 	0.11110061	0.43357334	0.45532602
The boy was tossing feverishly on his bed, and the mother had fallen asleep, she was so tired. In he hopped, and laid the great ruby on the table beside the woman's thimble. 	0.11110061	0.43357334	0.45532602
Then he flew gently round the bed, fanning the boy's forehead with his wings. 	0.27574214	0.52749896	0.19675897
How cool I feel, said the boy, "I must be getting better"; and he sank into a delicious slumber. 	0.56479144	0.3808266	0.05438204
Then the Swallow flew back to the Happy Prince, and told him what he had done. 	0.27574214	0.52749896	0.19675897
It is curious, he remarked, "but I feel quite warm now, although it is so cold." 	0.56479144	0.3808266	0.05438204
That is because you have done a good action, said the Prince. 	0.56479144	0.3808266	0.05438204
And the little Swallow began to think, and then he fell asleep. 	0.27574214	0.52749896	0.19675897
Thinking always made him sleepy. 	0.11110061	0.43357334	0.45532602
When day broke he flew down to the river and had a bath. 	0.27574214	0.52749896	0.19675897
What a remarkable phenomenon, said the Professor of Ornithology as he was passing over the bridge. 	0.56479144	0.3808266	0.05438204
A swallow in winter! 	0.27574214	0.52749896	0.19675897
And he wrote a long letter about it to the local newspaper. 	0.27574214	0.52749896	0.19675897
Every one quoted it, it was full of so many words that they could not understand. 	0.11110061	0.43357334	0.45532602
To-night I go to Egypt, said the Swallow, and he was in high spirits at the prospect. 	0.56479144	0.3808266	0.05438204
He visited all the public monuments, and sat a long time on top of the church steeple. 	0.27574214	0.52749896	0.19675897
Wherever he went the Sparrows chirruped, and said to each other, "What a distinguished stranger!" so he enjoyed himself very much. 	0.56479144	0.3808266	0.05438204
When the moon rose he flew back to the Happy Prince. 	0.27574214	0.52749896	0.19675897
Have you any commissions for Egypt? he cried; "I am just starting." 	0.27574214	0.52749896	0.19675897
Swallow, Swallow, little Swallow, said the Prince, "will you not stay with me one night longer?" 	0.27574214	0.52749896	0.19675897
I am waited for in Egypt, answered the Swallow. 	0.56479144	0.3808266	0.05438204
To-morrow my friends will fly up to the Second Cataract.	0.27574214	0.52749896	0.19675897
The river-horse couches there among the bulrushes, and on a great granite throne sits the God Memnon. 	0.56479144	0.3808266	0.05438204
All night long he watches the stars, and when the morning star shines he utters one cry of joy, and then he is silent. 	0.56479144	0.3808266	0.05438204
At noon the yellow lions come down to the water's edge to drink. 	0.27574214	0.52749896	0.19675897
They have eyes like green beryls, and their roar is louder than the roar of the cataract. "Swallow, Swallow, little Swallow," said the Prince, "far away across the city I see a young man in a garret. 	0.27574214	0.52749896	0.19675897
He is leaning over a desk covered with papers, and in a tumbler by his side there is a bunch of withered violets. 	0.27574214	0.52749896	0.19675897
His hair is brown and crisp, and his lips are red as a pomegranate, and he has large and dreamy eyes. 	0.56479144	0.3808266	0.05438204
